ef,recall,qps,mean_distance_computations,mean_visited,mean_hops,mean_latency_ms,k,n,dim,M,ef_construction,selection,hierarchical,metric,dataset,build_seconds,index
16,0.936,3242.7356236574865,397.236,397.236,23.488,0.3083815999998478,10,10000,25,16,200,heuristic,True,cosine,glove-25-angular,45.93182660000002,loam-hnsw
32,0.9814,2087.4007206125602,618.351,618.351,38.855,0.4790646999999808,10,10000,25,16,200,heuristic,True,cosine,glove-25-angular,45.93182660000002,loam-hnsw
64,0.997,1202.572205742435,1001.554,1001.554,70.488,0.831550899999911,10,10000,25,16,200,heuristic,True,cosine,glove-25-angular,45.93182660000002,loam-hnsw
128,0.9997,649.1339903435659,1623.349,1623.349,134.265,1.5405139999998028,10,10000,25,16,200,heuristic,True,cosine,glove-25-angular,45.93182660000002,loam-hnsw
256,1.0,362.61568618889964,2595.143,2595.143,262.165,2.7577406000000337,10,10000,25,16,200,heuristic,True,cosine,glove-25-angular,45.93182660000002,loam-hnsw
16,0.9337,3622.336631710162,397.837,397.837,19.628,0.2760649000001649,10,10000,25,16,200,heuristic,False,cosine,glove-25-angular,23.389723400000094,loam-hnsw
32,0.9816,2226.8069703492192,615.839,615.839,35.02,0.44907350000039514,10,10000,25,16,200,heuristic,False,cosine,glove-25-angular,23.389723400000094,loam-hnsw
64,0.9969,1278.974201299743,992.796,992.796,66.576,0.7818766000000323,10,10000,25,16,200,heuristic,False,cosine,glove-25-angular,23.389723400000094,loam-hnsw
128,0.9997,676.8052086928333,1607.115,1607.115,130.235,1.4775300000001153,10,10000,25,16,200,heuristic,False,cosine,glove-25-angular,23.389723400000094,loam-hnsw
256,1.0,366.34428735726067,2569.103,2569.103,257.893,2.72967269999981,10,10000,25,16,200,heuristic,False,cosine,glove-25-angular,23.389723400000094,loam-hnsw
